config,particles,timesteps,memory,runtime,looptime,mpi_pair,mpi_bond,mpi_neigh,mpi_comm,mpi_output,mpi_modify,mpi_other
rdf,512,500000,2.770000,90,84.759201,34.099998,0.020000,0.840000,53.330002,0.300000,8.570000,2.840000
rdf,512,500000,2.800000,91,88.065598,31.309999,0.020000,0.770000,50.919998,1.810000,8.450000,6.720000
rdf,512,500000,2.770000,88,83.240501,34.070000,0.020000,0.840000,51.959999,1.230000,8.960000,2.920000
rdf,512,500000,2.770000,87,82.846001,33.389999,0.020000,0.830000,51.790001,0.930000,10.200000,2.840000
rdf,512,500000,2.800000,92,86.858398,33.029999,0.020000,0.820000,52.700001,1.120000,9.240000,3.070000
rdf,512,500000,2.770000,88,82.107101,33.150002,0.020000,0.820000,53.860001,0.340000,8.690000,3.120000
rdf,512,500000,0.000000,92,86.956802,32.740002,0.020000,0.800000,49.849998,4.900000,8.910000,2.780000
rdf,512,500000,2.800000,93,87.679802,32.590000,0.020000,0.810000,52.470001,0.760000,10.270000,3.080000
rdf,512,500000,2.770000,86,80.856598,34.330002,0.020000,0.850000,52.889999,0.410000,8.670000,2.830000
rdf,512,500000,2.800000,91,86.537300,33.070000,0.020000,0.820000,53.939999,0.770000,8.540000,2.840000
rdf,512,1000000,2.880000,173,168.250000,32.560001,0.020000,0.810000,53.090000,0.360000,10.140000,3.030000
rdf,512,1000000,2.870000,177,172.460007,33.400002,0.020000,0.820000,53.000000,0.320000,9.310000,3.120000
rdf,512,1000000,2.870000,164,160.199005,34.509998,0.020000,0.850000,52.939999,0.310000,8.550000,2.810000
rdf,512,1000000,2.880000,168,162.470993,34.759998,0.020000,0.840000,52.320000,0.710000,8.480000,2.880000
rdf,512,1000000,2.890000,170,165.692001,32.880001,0.020000,0.810000,53.750000,0.640000,8.840000,3.060000
rdf,512,1000000,2.860000,178,173.490997,33.480000,0.020000,0.810000,53.029999,0.350000,9.050000,3.250000
rdf,512,1000000,2.870000,166,161.427002,34.230000,0.020000,0.850000,52.740002,0.580000,8.760000,2.820000
rdf,512,1000000,2.870000,168,163.552994,34.560001,0.020000,0.830000,52.430000,0.300000,9.030000,2.840000
rdf,512,1000000,2.880000,177,168.300995,32.570000,0.020000,0.800000,52.830002,0.390000,10.370000,3.020000
rdf,512,1000000,2.890000,183,178.925995,32.630001,0.020000,0.790000,52.529999,1.850000,9.130000,3.060000
rdf,512,5000000,3.610000,949,941.411011,29.889999,0.020000,0.730000,52.439999,1.120000,10.660000,5.150000
rdf,512,5000000,3.620000,814,809.788025,34.150002,0.020000,0.840000,52.990002,0.870000,8.330000,2.800000
rdf,512,5000000,3.590000,781,775.721008,35.790001,0.020000,0.870000,49.090000,0.800000,9.960000,3.470000
rdf,512,5000000,3.620000,816,810.390015,34.009998,0.020000,0.850000,53.980000,0.530000,7.480000,3.130000
rdf,512,5000000,3.620000,818,812.864014,34.020000,0.020000,0.840000,52.959999,0.970000,8.420000,2.780000
rdf,512,5000000,3.620000,935,930.932983,30.160000,0.020000,0.730000,53.029999,0.420000,10.730000,4.900000
rdf,512,5000000,3.590000,781,775.575012,35.660000,0.020000,0.870000,49.180000,0.440000,9.970000,3.870000
rdf,512,5000000,0.000000,835,830.968018,33.099998,0.020000,0.840000,53.900002,0.620000,8.110000,3.410000
rdf,512,5000000,3.620000,819,814.838013,34.169998,0.020000,0.840000,52.639999,0.440000,9.050000,2.840000
rdf,512,5000000,3.630000,947,942.112000,29.930000,0.020000,0.730000,52.860001,0.710000,10.680000,5.080000
rdf,512,10000000,4.950000,1592,1587.109985,34.400002,0.020000,0.850000,52.360001,0.710000,8.360000,3.290000
rdf,512,10000000,4.540000,1771,1765.939941,31.559999,0.020000,0.780000,53.090000,0.720000,9.570000,4.260000
rdf,512,10000000,4.530000,1637,1632.250000,35.000000,0.020000,0.860000,54.259998,0.890000,6.450000,2.510000
rdf,512,10000000,4.520000,1579,1574.900024,35.009998,0.020000,0.860000,51.959999,0.830000,8.080000,3.240000
rdf,512,10000000,4.560000,1730,1725.369995,33.090000,0.020000,0.810000,53.040001,0.400000,9.560000,3.090000
rdf,512,10000000,4.640000,1729,1724.989990,32.549999,0.020000,0.800000,52.910000,0.680000,9.320000,3.720000
rdf,512,10000000,4.540000,1652,1648.569946,35.169998,0.020000,0.850000,54.380001,0.530000,6.570000,2.490000
rdf,512,10000000,4.520000,1588,1581.709961,34.759998,0.020000,0.850000,51.980000,0.780000,8.470000,3.130000
